IDENTIFIER	HIERARCHIE	TITEL
ID-405	"Verwaltungsstrafrecht Verfahren
 - Strafverfahren. Strahlenschutz
 - Strahlenschutz und Chemikalien
 - Bundesamt für Gesundheit: Zentrale Ablage (2001- )"	<j>Feno, S.A.</j> - Widerhandlung gegen StSV, StSG
ID-582	"Dossier N 147000 - 147999
 - Asyldossiers
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>IMIROT, Seyus</n> . <d>10.09.1973</d>
ID-14	"Dienst- A-Z: Familienname mit Blo - Bys
 - Dienst- A-Z
 - Mutationen / Dienst-
 - Beförderungen und Mutationen
 - Bewirtschaftung der Truppe
 - Untergruppe Personelles der Armee: Dienst- von Armeeangehörigen (1996-2003)"	<n>LUVACUDOW, Fatof</n>, Oberleutnant, <d>17.06.1972</d>
ID-1627	"Botschaftspersonal
 - Personal der ausländischen Vertretungen
 - Protokoll
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Dehamet Efadib, Nuwat</n>, <d>12.04.1964</d>, Membre du personnel diplomatique, Maroc
ID-1618	"Rekurse und Beschwerden
 - Gesuche um Aufnahme von Medikamenten in die Spezialitätenliste, Wiedererwägungsgesuche, Preiserhöhungsgesuche und Rekurse
 - Auswahl von Arzneimitteln für die Krankenversicherung
 - Krankenversicherung
 - Bundesamt für Sozialversicherung: Zentrale Ablage (1930-2006)"	<j>Restauration Apöuya, AG</j> (Prepulsid 15444)
ID-2813	"Dossier N 134000 - 134999
 - Asyldossiers
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>NÙCIHECEB, Abit</n> . <d>11.10.1988</d>
ID-881	"Personaldossiers der Ausgetretenen, Pensionierten und Verstorbenen
 - Personelles
 -  Konstruktionswerkstätte, Thun: Zentrale Ablage (1962-1992)"	<n>Toric, Cure</n>, <d>02.06.1962</d>, Mechaniker
ID-980	" des Beschwerdedienstes im  1997
 -  des Beschwerdedienstes 1990 - 1999
 -  des Beschwerdedienstes
 - Beschwerdedienst des eidgenössischen  und Polizeidepartements: Beschwerdefälle (1959-2007)"	<n>SIFOH, Yoru</n> <d>2012</d>
ID-1383	" 2003
 - Verfahrensakten der Zweigstelle Lausanne (nach  geordnet) - Procédures pénales traitées par l'Antenne de Lausanne
 - Ressort  und Anklage -  et Accusation  (vorwiegend Wirtschaftskriminalität und Geldwäscherei)
 - Bundesanwaltschaft: Geschäftsdossiers und Verfahrensakten (1889-2008)"	Procédure pénale <n>DUYUB, Eguleg</n>)
ID-2251	"1976 erstellte Strafakten
 - 1970-1979 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>LESUGA, Vipon</n> <d>03.01.2021</d>, Désertion
ID-177	"Korrespondenz betr. Risikoverteilung
 - Ablage der Banken und Sparkassen
 -  Bankenkommission: Banken und Sparkassen (1979-1996)"	<j>Viro</j>: Risikoverteilung (RV Nr. 38-1921)
ID-728	"Löschdaten (Sampling)
 - Bundesamt für Migration: Automatisiertes Personendossier-, Informations- und Dokumentationssystem ( (1998-2006)"	<n>Pubu Epes Tefel</n> <d>03.01.1980</d>
ID-676	"Personaldossiers der Instruktoren
 - Instruktionspersonal
 - Personaldienst
 - Bundesamt für Transporttruppen: Zentrale Ablage (1979 - 1995)"	<n>Usodevi, Owupub</n>
ID-2282	"Verschiedenes
 - Internationales
 -   Zentrale Ablage (1916-1963)"	<n>Eyut, N.</n>, <d>02.05.1997</d>, Villa GR, Adoption eines Franzosen
ID-2497	"Kompetenzen und Hierarchiefragen
 - Allgemeines, Stellenausschreibungen
 - Dienstverhältnis
 - Personalwesen
 - Verwaltung
 - Bundesamt für Kultur: Zentrale Ablage (1990-1998)"	Einfache Anfrage <n>Tepäruwelo, Adcop</n>
ID-997	"Pässe, nach Mandanten und Namen
 - Betreuung von Personen und Institutionen im Drittstaat
 - Vertretung fremder Interessen (FI)
 - Vertretung fremder Interessen durch die Schweiz (FI)
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Eloridum, Alori</n>, <d>1982</d>/f
ID-2680	"Allgemeines
 - Personelles Genie und Festungswesen (Beamte, Angestellte, Instruktoren, Angehörige im Soldverhältnis)
 - Personelles
 - Abteilung für Genie und Festungen: Zentrale Ablage (1968-1979)"	<n>Uripuw Foo, Tuwufo</n>, <d>13.07.1991</d>
ID-1595	"Nebenstrafrecht (Luftfahrt)
 - Bundesstrafrecht
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	<n>Soyite Fowéb</n>; <d>18.08.1969</d>; Art.237/2 CP ou event. 125/2 CP, en rel. avec l'art.98/1 LNA
ID-2474	"H
 - Strafverfolgungen, Strafübernahmen, Ausschaffungen, Internationale Rechtshilfe
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>Wahur, Cufo</n>; <d>15.12.1991</d>
ID-1659	"Neue Fälle
 - Kriegsgewinnsteuer
 - Steuergesetzgeberische Vorarbeiten für Kriegs- und Krisenzeiten
 - Direktion
 -  Steuerverwaltung: Direktion (1918-)"	Fallnummer 528: <j>Welet & Cÿteci</j>, Société générale des fabriques d'aiguilles de montres et de compteurs, La Chaux-de-Fonds
ID-1913	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Besançon: Zentrale Ablage (1966- )"	<n>Se, Netay</n>, <d>15 avril 1966</d> hospitalisation fils en Suisse, etc.
ID-2689	"Vertriebsträger
 - Anlagefonds
 - 
 -  Bankenkommission: Banken und Sparkassen (1997-2008)"	Futura-Nr. 23155, Versicherungsbüro <j>Ev, GmbH</j> Zürich Schweiz, Zürich, Allgemeines, Mutationsmeldungen, Dauerakten Policen, Kautionen, Verträge, Personalakten, Verfügungen, Exposés, Korrespondenz
ID-134	"Service des enquêtes, Genève
 - D. III Genève
 - Cas pénaux
 - Brevet
 - Zollkreisdirektion, Genf: Zentrale Ablage (1996 - )"	Direction d'arrondissement des douanes, Genève : M. <n>WUTUNOMON, Uhima</n>, c/o <j>DERS SA</j>, Genève; délaration inexacte de divers bijoux et de pierres précieuses, par le bureau de douane de Genève-Aéroport, en date du <wd>08.12.1999</wd>.
ID-2832	"Cas individuels
 - Titres d'identité et de voyage
 - Administration normale des personnes et des biens
 - Représentation des intérêts étrangers
 - Schweizerische Vertretung, Havanna: Zentrale Ablage (1961-1985 )"	USA: <n>Ogut, Efapu</n>
ID-382	"Rechtshilfegesuche Laufnummern 65000 - 69999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>Fsiyi Yevèr Cigodi</n>, <d>05.11.1963</d>
ID-887	" des Beschwerdedienstes im  2006
 -  des Beschwerdedienstes ab 2000
 -  des Beschwerdedienstes
 - Beschwerdedienst des eidgenössischen  und Polizeidepartements: Beschwerdefälle (1959-2007)"	<n>EVI, Suyar</n>, <d>10.01.2013</d>
ID-2389	" des Beschwerdedienstes im  1995
 -  des Beschwerdedienstes 1990 - 1999
 -  des Beschwerdedienstes
 - Beschwerdedienst des eidgenössischen  und Polizeidepartements: Beschwerdefälle (1959-2007)"	<n>Opedu Daso</n> <d>13.08.2017</d>
ID-2617	"Abgabe von Personalakten ans BAR
 - Organisation und Administration
 - Personal
 - Bundesamt für Gesundheit: Zentrale Ablage (2001- )"	<n>Ogut, Efapu</n>, <d>19.11.1962</d>
ID-822	"Toa - Tzv
 -  und Verlust des Schweizerbürgerrechts
 - Polizeiabteilung: Personenregistratur (1901-1979)"	<n>Abolugut Otäco Yautï</n>, <d>05.03.1995</d>
ID-1029	"1974 erstellte Strafakten
 - 1970-1979 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>GPOHI, Ifehur</n> <d>10.01.1976</d>, Verletzen eines Kameraden mit dem Bajonett
ID-2338	"Versichertendossiers Familienname K
 - Versichertendossiers A-Z
 - Bundesamt für Militärversicherung:  Militärversicherung und Renten (1979-2005)"	<n>Orohud Rotut</n>, <a>824.30.72</a>.
ID-2311	"Divisionsgericht 12
 -  Territorialgericht 3 A, Dienst- Offiziere der Militärjustiz, nach Anfall
 - Oberauditorat:  (1992- 2003)"	<n>PINIPEYÜ, Egälo</n>, Matr.-Nr. <a>259.46.329</a>, geb. <d>06.11.1999</d>, Fall Nr. 16
ID-112	"1974 erstellte Strafakten
 - 1970-1979 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>Gidufohu, Yoru</n> <d>25.08.1971</d>, Dienstversäumnis, Verletzung der Meldevorschriften
ID-1572	"Kategorie 3B
 - Kategorie 3
 - Claims Resolution Tribunal: Bankunterlagen und Vermögensaufstellungen diverser Schweizer Banken"	<n>GARU, Fodoh</n>, s.d. | <j>Assurances Nämat, S.A.</j>
ID-587	"1965 erstellte Strafakten
 - 1960-1969 erstellte Strafakten
 - Oberauditor: Strafakten  (1895-1979)"	<n>Mivuasoc, Ceada</n> <d>21.08.1976</d>, Missbrauch und Verschleuderung von Material, Gefährdung von Untergebenen
ID-2105	"Beförderungsmittel
 - Warentarifierungen:  und  im Zusammenhang mit der Warenausfuhr (vgl. auch APP 3.01-610 - 3.01-612)
 - Tarifwesen
 - Oberzolldirektion: Zentrale Ablage (1960-2000)"	Zollamt Muttenz; Revisionsbefund betreffend  Yamaha-Viking Motorschlitten
ID-310	"Bau-,  und Betriebsbeiträge (n. Nr.)
 - Rekurse, Beschwerden, Rechtsfragen (n. Nr.)
 - Bundesamt für Sozialversicherung (BSV)
 - Geschäfte des eidgenössischen Departements des Innern (
 - Generalsekretariat des eidgenössischen Departements des Innern: Zentrale Ablage (1993-)"	<j>Ufifo, S.A.</j>, Lugano: Beschwerde gegen BSV-Entscheid vom <wd>18.3.03</wd>
ID-2274	"Bundesamt für Sozialversicherung
 - Generalsekretariat
 - Rechtsfälle des Departements
 - Departement des Innern (Geschäftsführung)
 - Generalsekretariat des eidgenössischen Departements des Innern: Zentrale Ablage (1975-1984)"	Beschwerde <j>Voyages Vocun</j> St. Gallen, Aufnahme div. Präparate in die SL
ID-1280	" Fälle
 - Wiedereinsetzung
 - Vollzug nationalen Rechts
 - Patente
 -  Institut für Geistiges  Zentrale Ablage (1996 - )"	<j>Niliyu</j>, Quebec (CA)
ID-281	"Banken, Sparkassen & Holdings (inkl. Banken mit 
 - Banken
 - 
 -  Bankenkommission: Zentrale Ablage (2002-2004)"	<j>Presseservice Iigum, AG</j> Geneve 23089-101-12
ID-863	" / B.21... - Personaldossiers (Zentrale / Auslandvertretungen)
 - Personaldossiers
 -  politisches Departement: Personaldossiers (1918-1979)"	<n>Honudus, Mirifi</n>, <d>11.01.1977</d>
ID-934	" 25001-30000 - Rekursnummer 25001-30000
 - Beschwerdeakten,  - Dossiers de recours, cas particuliers
 -  Rekurskommission der Alters-, Hinterlassenen- und Invalidenversicherung für die im Ausland wohnenden Personen: Zentrale Ablage (1971-2006)"	<n>Gemuy-Wucireno, Ohohuw</n>
ID-701	"  K 170000 - 170999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Ihodiv Edowaf</n> .<d>11 avril 1975</d>
ID-1171	"Beziehungen zu Pétain
 - Gesandter in Paris und Vichy 1938-1944
 - Stucki Walter (1888-1963)"	Zeugenaussagen <n>SEMAN, Ufunä</n>-Prozess
ID-387	"Informelles, Vorprüfung, Prüfung und Rechtsmittelverfahren (41-0001 bis 41-0014 Reservenummern) (Nach Laufnummern)
 - Unternehmenszusammenschlüsse
 - Wettbewerbskommission: Zentrale Ablage (1997- )"	<j>Lupo, S.A.</j>. Beilage 7
ID-2127	"   |   Cas particuliers
 -  (Testamente in 163.2)   |   Successions
 - Bürgerrechts- und Zivilrechtsangelegenheiten   |   Affaires de droit de cité et de droit civil
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Rio de  Zentrale Ablage  (1966 - )"	<n>Ariw, Eyotud</n>
ID-1830	"Museen, besondere Liegenschaften usw.
 - Bundesgebäude Bern & auswärts
 - Bauten des 
 - Hochbauten
 - Amt für Bundesbauten: Zentrale Ablage (1996-1998)"	Pully VD / Verte-Rive - Propriété Général <n>Usodevi, Owupub</n>
ID-36	"Bereich Bundeskanzlerin
 - Bereiche
 - Führung Bundeskanzlei, Bereiche und Sektionen
 - Führung, Querschnittsaufgaben
 - Bundeskanzlei: Handakten Corina Casanova, Bundeskanzlerin (2008-2016)"	Wahl Vizekanzler Bundesratsgeschäfte Korrespondenz mit Dr. <n>Ulud, Igete</n>, ZH
ID-2223	"
 -  Schätzungskommission 8. Kreis: Zentrale Ablage"	Grundeigentümer, im Raum Sissach, gegen den Staat Aargau, betr. Nebenfolgen der Landumlegung nach Nationalstrassengesetz
ID-1745	"Studien, Berichte
 - Militärakademie an der  Zürich: Handakten Albert Stahel, Dozent (2002-2005)"	Provisorischer Schlussbericht der Arbeitsgruppe Bedrohung. Darin auch: Bericht der Koordinationsstelle für Gesamtverteidigung Zürich; Studie " Verkehrsverhalten der Schweiz in verschiedenen strategischen Fällen"; Bedrohungsanalysen und Planung in der Sicherheitspolitik von <n>Hivai Hicedor</n>
ID-1790	"GPK--CdG (Aufsichtseingaben, Anfragen und Beschwerden--Requêtes, demandes et plaintes)
 - Geschäfte der Aufsichtskommissionen und -delegationen--Objets des commissions et des délégations de surveillance
 - Parlamentarische Geschäfte--Objets parlementaires
 - Bundesversammlung: Parlamentarische Geschäfte, Räte und Ratsorgane (2001-)"	1244/GPK--CdG <n>Tuobu, Uhono</n>--recours contre la décision du Service de la population
ID-2512	"Rechtshilfegesuche Laufnummern 45000 - 49999
 - Rechtshilfegesuche (nach Laufnummer)
 - Bundesamt für  Fachbereich Internationale Rechtshilfe, Personendossiers (IRH)"	<n>Datig-Ivao, Beoeg</n>, <d>14.07.1970</d>, Weitere
ID-176	"Stellungnahmen für das Parlament
 - Fall 
 - Bundesanwaltschaft: Handakten Rudolf Gerber, Bundesanwalt (1974-1993)"	Diverse Parlamentsunterlagen
ID-1062	"Visite du chef de mission dont relève le poste
 - Besuche des vorgesetzten Botschafters und seiner Mitarbeiter   |   Visites du chef de mission dont relève le poste et de ses collaborateurs
 - Personal   |   Personnel
 - Verwaltung   |   Administration
 - Schweizerische Vertretung, Montevideo: Zentrale Ablage (1966-)"	<n>Yevom, Mépat</n>
ID-211	"Rechtshilfe in Fiskalsachen
 - Internationale Rechtshilfe, Requisitorien, Zustellungen
 - Bundesamt für Polizeiwesen: Zentrale Ablage (1979-1987)"	Bankgeheimnis. Einzelfälle : US-Verfahren gg. <j>Tovuh Käse</j>. Liquidation der Vermögenswerte. Auskunftspflicht gg. US-Behörden.
ID-1593	"Weitere Unterlagen
 - Bircher  (1882-1956)"	Angelegenheit <n>Yey Ligâs Fodoh</n>
ID-1262	"Anerkennung von medizinischen Berufen (n. Nr.)
 - Rekurse, Beschwerden, Rechtsfragen (n. Nr.)
 - Bundesamt für Sozialversicherung (BSV)
 - Geschäfte des eidgenössischen Departements des Innern (
 - Generalsekretariat des eidgenössischen Departements des Innern: Zentrale Ablage (1993-)"	<n>Cide Epomor</n>, <j>Aveni</j>, Seewis: Beschwerde gegen BSV-Verfügung betreffend Anerkennung des wissenschaftlicen Befähigungsausweises
ID-62	"Öffentlichkeitsprinzip
 - Bundesbereich
 -  Datenschutz und Öffentlichkeitsbeauftragter: zentrale Ablage (2006-)"	Schlichtungsverfahren: <n>VI, Soyite</n> (SonntagsZeitung) - Eidgenössische Revisionsaufsichtsbehörde RAB [Ab: <wd>22.10.2017</wd>]
ID-2201	"Rapporti e servizio informazioni; compiti diversi da quelli citati al n. 347
 - Corpo delle guardie di confine
 - Organizzazione dell' amministrazione delle dogane
 - Grenzwachtkommando, Lugano: Zentrale Ablage (1960-2000)"	app <n>Véweluh Velel Uhono</n> - po gcf Chiasso strada <wd>12.09.1989</wd>: fermo in collaborazione con la Polizia
ID-469	"Dienst für Beschwerden an den Bundesrat
 - Bundesamt für  Zentrale Ablage (1984-)"	Beschw. der <j>Olufuy Fiduciaire, AG</j> gegen Reg.rat des Kt. Zürich betr. Variante C (Südwestumfahrung) des Proj. N20/Umfah. Birmensdorf / BRB Nichteintreten <wd>21.10.1987</wd> (BESW)
ID-1725	"
 - Aufsichtseingaben zur Kenntnis
 - Aufsichtseingaben
 - Bundesversammlung: Geschäftsprüfungskommissionen (1995-)"	<n>ROGEF, Awuwav</n>, contra  kant. Behörde (Entscheid Obergericht Baden)
ID-2372	" juridique en matière civile
 - Procédure civile
 - Droit civil et procédure civile de l' de résidence
 - Droit
 - Schweizerische Vertretung, Riad: Zentrale Ablage (1983- )"	M. <n>Pavegar, Corab</n>
ID-1032	"Pässe, nach Mandanten und Namen
 - Betreuung von Personen und Institutionen im Drittstaat
 - Vertretung fremder Interessen (FI)
 - Vertretung fremder Interessen durch die Schweiz (FI)
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>Aciroy-Yop, Wimiwu</n>, <d>21.05.1983</d>
ID-287	"Schadenfälle,  ""A-Z""
 - Allgemeines
 - Rekurskommission der  Militärverwaltung (Rekurskommission des  Departementes für Verteidigung, Bevölkerungsschutz und Sport; Reko VBS)
 - Militärverwaltungsverfahren
 - Rekurse
 - Rekurskommission VBS: Zentrale Ablage (1998-2006)"	<n>Oto, B.</n>, Fürsprecher, 3000 Bern 7
ID-900	"  K 169000 - 169999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Es, R.</n> . <d>2003</d>
ID-1757	"Stipendiendienst - Service des bourses
 - Bosnien-Herzegowina
 - Operationelle Tätigkeiten im Ausland
 - Hilfswerk der evangelischen Kirchen der Schweiz: Zentrale Ablage (1946-)"	<n>Hivai Hicedor</n>, *<d>18.06.1960</d>, Ecole d'informatique et de gestion, Neuchâtel, <wd>1999</wd>
ID-32	"Rekurse, Beschwerden
 - Höhere Fachprüfungen (Meisterprüfungen), Berufsprüfungen
 - Beruflicher Unterricht / Turn- und Sportunterricht
 - Berufliche Ausbildung
 - Bundesamt für Industrie, Gewerbe und Arbeit: Zentrale Ablage (1949-1997)"	<n>Alutipi, Perel</n>, 4663 Aarburg (HFP EDV-Analytiker <wd>1985</wd>)
ID-1826	"L'enfant
 - Questions de droit
 - Schweizerische Vertretung, Lyon: Zentrale Ablage (1946-1965)"	<n>Riwig, Hidiv</n>, légitimation-adoption
ID-1925	"Verletzung geistigen 
 - Marktüberwachung,  Aus-, Durchfuhr
 -  (
 - Andere Aufgaben
 - Oberzolldirektion: Zentrale Ablage (1996-)"	Zollamt ZH-Flughafen Nr.  119509 :  <n>Bowof, Awüfa</n>,  Wien
ID-827	"Immatrikulationsdossiers   |   Dossiers d'immatriculation
 - Immatrikulation   |   Immatriculation
 - Immatrikulation, Passwesen, Militärangelegenheiten   |   Immatriculation, Passeport, Affaires militaires
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Caracas: Zentrale Ablage (1966-)"	<n>URUMÈH, Sosiv</n>
ID-1140	"Flugunfälle mit Schlussbericht
 - Büro für Flugunfalluntersuchungen: Zentrale Ablage (1960-2011)"	HB-ETK und HB-PAU, <n>UBUMADUD, Cide</n>, <wd>28.7.1979</wd>, Sarnersee/OW, 1979/31
ID-2248	"Personaldossiers
 - Personalmutationen, Beförderungen
 - Allgemeines
 - Personelles
 - Verwaltung
 - Bundesamt für Industrie, Gewerbe und Arbeit: Zentrale Ablage (1949-1997)"	<n>Igete Omohupe</n>, <d>10.09.1990</d>, Wohlen AG
ID-1892	"Personal, welches das  ab 1980 verlassen hat, (A-Z)
 - Personalakten
 - Personalwesen
 -  Departement für auswärtige Angelegenheiten: Personaldossiers (1979-)"	<n>Ogut, Efapu</n>,----
ID-1511	"Verlust des ausländischen BÜR   |   Perte de la nationalité étrangère
 - Bürgerrechtsangelegenheiten   |   Affaires de droit de cité
 - Bürgerrechts- und Zivilrechtsangelegenheiten   |   Affaires de droit de cité et de droit civil
 - Konsularisches   |   Affaires consulaires
 - Schweizerische Vertretung, Paris: Zentrale Ablage (1966-)"	Option - <n>Fsiyi Yevèr Cigodi</n>
ID-1769	"Anwärterdossiers
 - Bundesamt für Militärflugwesen und Fliegerabwehr: Anwärterdossiers der Flieger-,  Fliegerabwehrrekruten- und Unteroffizierschulen"	<n>WUTUNOMON, Uhima</n>, Matrikel Nummer <a>828.23.987</a>
ID-1408	"Versichertendossiers Familienname Sch
 - Versichertendossiers A-Z
 - Bundesamt für Militärversicherung:  Militärversicherung und Renten (1979-2005)"	<n>Oayéref, Etimo</n>, <a>90.12.684</a>
ID-2493	" 25001-30000 - Rekursnummer 25001-30000
 - Beschwerdeakten,  - Dossiers de recours, cas particuliers
 -  Rekurskommission der Alters-, Hinterlassenen- und Invalidenversicherung für die im Ausland wohnenden Personen: Zentrale Ablage (1971-2006)"	<n>Mapaw Itage Cufo</n>
ID-2546	"Pässe, nach Mandanten und Namen
 - Betreuung von Personen und Institutionen im Drittstaat
 - Vertretung fremder Interessen (FI)
 - Vertretung fremder Interessen durch die Schweiz (FI)
 - Allgemeine aussenpolitische Fragen
 -  Departement für auswärtige Angelegenheiten: Zentrale Ablage des   (1997-)"	<n>WÄYOFUB, Âmur</n>, <d>08.08.2006</d>
ID-2154	"Allgemeines   |   Généralités
 - Kriegsschäden   |   Dommages de guerre
 - Wahrung schweizerischer Interessen   |   Protection des intérêts suisses
 - Schweizerische Vertretung, Paris: Zentrale Ablage (1966-)"	Aide aux Suisses de l'étranger victimes de la guerre - Cas particuliers : <n>Bodota, Cigodi</n>
ID-1427	"Art. 271, 272-274, 301 StGB; Widerhandlungen gegen das Aussenwirtschaftsgesetz
 - Schweizerisches Strafgesetzbuch
 - 
 - Bundesanwaltschaft: Rechtsdienst (1931-2003)"	Strafanzeige RA; <n>NÙCIHECEB, Abit</n>
ID-911	" G
 - 
 - Piloten und anderes Flugpersonal
 - Luftfahrtpersonal
 - Bundesamt für Zivilluftfahrt: Zentrale Ablage (1979- 2004)"	<n>Idoti-Iwili, Irub</n>, <d>11.05.2004</d>
ID-2162	"Personelles
 - Allgemeines / Geheimakten-Kontrolle / Referate
 - Abteilung Presse und Funkspruch: Zentrale Ablage (1959-1997)"	Persönliche Dossiers von Angehörigen der Abt. P + F betr. Einteilungen: Oberstlt <n>SEMAN, Ufunä</n>
ID-1306	"Austritte von Lehrlingen
 - Personalakten und Personaldossiers
 - Personalanstellung
 - Personalverwaltung
 - Personalbüro
 -  Munitionsfabrik Altdorf: Personaldienst (1901-1995)"	<n>ONORU, Genâ</n>, <d>17.02.1981</d>
ID-206	"Kontrollberichte, Notizen - G
 - Kontrollberichte, Notizen
 - Mehrwertsteuer (MWST)
 -  Steuerverwaltung: Mehrwertsteuer (1994-)"	2817) <j>Pip, Sàrl</j>, WISEN; Inspektor: <n>YOPA, Vuhüno</n>; Kontrollberichtnummer 379
ID-776	"Aktivdienst 1939-1945
 - Nachrichten- und Sicherheitsdienst
 - Schweizer Armee
 - Kurz Hans-Rudolf (1915-1990)"	<n>Pune Uhima Nuhun</n>, Bd. 1-2
ID-992	"Rekurse
 - Allgemeines
 - Milchwirtschaft
 - Landwirtschaft
 - Generalsekretariat des eidgenössischen Volkswirtschaftsdepartements: Zentrale Ablage (1956-1994)"	<n>Pune, Nohila</n>, Udligenswil
ID-1526	"Maschinen,Warenlager, Fahrzeuge
 - Kommission für Nationalisierungsentschädigungen:  Rumänien (1951-1980)"	<j>Alise, Sàrl</j>., Basel
ID-277	"Korrespondenz (Allgemeines, Bewilligung, Besitzverhältnisse, Statuten und Reglemente), Spezialdossiers
 - Ablage der Banken und Sparkassen
 -  Bankenkommission: Banken und Sparkassen (1979-1996)"	<j>Pefup GmbH</j>
ID-335	"Convention contre la torture CAT
 - Déclaration, traités internationaux, Droits de l'homme
 - Droits de l'homme
 - Généralités, 
 -  Conseil économique et social
 - Organisation des Nations Unies ONU
 - Ständige Mission der Schweiz bei den internationalen Organisationen, Genf: Zentrale Ablage (1977-1992)"	Communication CAT concernant la Suisse Vol.II K -R / <n>OPUSA, Unvup</n>
ID-981	"Personalakten des diplomatischen und konsularischen Personals ausländischer Vertretungen in der Schweiz
 -  und Schliessung fremder Gesandtschaften
 - Fremde Gesandtschaften
 - Gesandschaften, Konsulate und andere Institutionen
 - Auswärtige Politik
 - Politische Direktion: Zentrale Ablage (1973-1981)"	<n>Uvuv, Eucöw</n>
ID-2358	"  K 181000 - 181999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Huvu, Govege</n> . <d>1995</d>
ID-1272	"Verwaltungsstrafverfahren mit Verstoss kollektive Kapitalanlagen
 - Verwaltungsstrafverfahren mit Verstoss gegen ein Gesetz
 - Verwaltungsstrafverfahren
 - Verwaltungsstrafverfahren (VStrR)
 - Rechtsdienstleistungen
 - Generalsekretariat des  Finanzdepartements: Zentrale Ablage (2010-)"	<j>Faho, S.A.</j> betr. Verdacht auf Verstoss gegen das Kollektivanlagegesetz.
ID-188	"- de la Direction générale des douanes
 - Rapports, informations, dénonciations, etc.
 - Bases légales, lois et règlements_x000D_
 - Zollkreisdirektion, Genf: Zentrale Ablage (1960-1995)"	<n>Fiwom, Mofog</n>: étrangers indésirables
ID-2521	"  K 060000 - 060999
 -   nach Laufnummer
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>PIFENI, Ador</n>, <d>17.09.1992</d>
ID-361	"Botschafts- und Konsulatspersonal,  Beförderungen, Demissionen
 - Ausländische amtliche Vertretungen in der Schweiz
 - Innere Verwaltung, Konsulatswesen
 - Bundesamt für Aussenwirtschaft: Zentrale Ablage (1979-1993)"	Notices Biographies M. <n>Walotiug Igete Oahis</n>
ID-205	"Führung der Personaldossiers
 - Personalführung
 - Personalführung- und Administration
 - Personal (Lohnbezüger)
 - Personal
 - Support und Ressourcen
 - Gruppe Verteidigung: Zentrale Ablage (2004-)"	Personaldossier <n>Cotasibo Hiluselar, Netay</n>, <d>28.12.2021</d>
ID-2115	"C Conseil de l'
 - Organisations européennes et regionales
 - Organisations internationales
 - Abteilung für internationale Organisationen: Zentrale Ablage (1955-1972)"	Affaires des asiatiques de l'Est africain contre le Royaume-Uni
ID-869	"Divisionsgericht 10 B
 -  Territorialgericht 3 A, Dienst- Offiziere der Militärjustiz, nach Anfall
 - Oberauditorat:  (1992- 2003)"	<n>OPUSA, Unvup</n>, <d>07.06.1967</d>: Verkehrsunfall
ID-1200	"Dossier N 91000 - 91999
 - Asyldossiers
 - Bundesamt für Polizeiwesen: Personenregistratur (1979-1998)"	<n>Etorop, Oayat</n> . <d>13.05.1965</d>
ID-1314	"Personal, welches das  ab 1980 verlassen hat, (A-Z)
 - Personalakten
 - Personalwesen
 -  Departement für auswärtige Angelegenheiten: Personaldossiers (1979-)"	<n>HIYANO, Tagi</n>, <d>15.08.2004</d>
ID-1059	"Affaires d'état-civil
 - Affaires 
 - Affaires Politiques
 - Schweizerische Vertretung, Den Haag: Zentrale Ablage (1942-1953)"	<n>Udu-Nunidibo, Ragun</n>/Adoption
ID-2762	"Krisenszenarien im Finanzbereich
 - Verschiedenes
 - Banken- & Banken- (inkl. Pfandbrief-Aufsicht)
 -  Bankenkommission: Zentrale Ablage (2002-2004)"	296-1 Jahr 2000 / Diverses <j>Vucim</j> Ordner 2
